20220917 10:59:03,966	c_1_3007_20220917_10_59_03,966.bmp	1,568768E+0	7,386438E-1	4,973106E-3	8,388745E-3	-6,786918E-3	-1,311118E-2	1,382857E+0	1,388463E+0
20220917 10:59:09,966	c_1_3008_20220917_10_59_09,966.bmp	1,605668E+0	7,539217E-1	6,245971E-3	1,094073E-2	3,389540E-3	-3,624835E-4	1,390502E+0	1,388463E+0
20220917 10:59:15,971	c_1_3009_20220917_10_59_15,971.bmp	1,646385E+0	7,755654E-1	6,245971E-3	1,094073E-2	-6,786918E-3	-2,912223E-3	1,390502E+0	1,388463E+0
20220917 10:59:21,972	c_1_3010_20220917_10_59_21,972.bmp	1,680739E+0	7,959359E-1	7,518835E-3	9,664739E-3	-1,696338E-2	-2,912223E-3	1,387954E+0	1,388463E+0
20220917 10:59:27,973	c_1_3011_20220917_10_59_27,973.bmp	1,721456E+0	8,175796E-1	6,245971E-3	8,388745E-3	-1,187515E-2	-2,912223E-3	1,382857E+0	1,383347E+0
20220917 10:59:33,979	c_1_3012_20220917_10_59_33,979.bmp	1,759628E+0	8,354038E-1	7,518835E-3	1,221673E-2	-1,950749E-2	-1,056144E-2	1,387954E+0	1,393578E+0
20220917 10:59:39,982	c_1_3013_20220917_10_59_39,982.bmp	1,796528E+0	8,557744E-1	1,006456E-2	1,094073E-2	-1,696338E-2	-5,461963E-3	1,395599E+0	1,388463E+0
20220917 10:59:45,983	c_1_3014_20220917_10_59_45,983.bmp	1,833428E+0	8,761449E-1	8,791700E-3	1,094073E-2	-1,441926E-2	-2,912223E-3	1,387954E+0	1,383347E+0
20220917 10:59:51,988	c_1_3015_20220917_10_59_51,988.bmp	1,874145E+0	8,914228E-1	7,518835E-3	1,349272E-2	-6,786918E-3	-8,011703E-3	1,390502E+0	1,396136E+0
20220917 10:59:57,988	c_1_3016_20220917_10_59_57,988.bmp	1,911044E+0	9,156129E-1	7,518835E-3	1,349272E-2	-9,331032E-3	-1,056144E-2	1,387954E+0	1,393578E+0
20220917 11:00:03,989	c_1_3017_20220917_11_00_03,989.bmp	1,950489E+0	9,359834E-1	4,973106E-3	9,664739E-3	-1,187515E-2	-5,461963E-3	1,387954E+0	1,396136E+0
20220917 11:00:09,998	c_1_3018_20220917_11_00_09,998.bmp	1,983571E+0	9,589003E-1	3,700242E-3	1,094073E-2	2,628657E-2	-8,011703E-3	1,385405E+0	1,388463E+0
20220917 11:00:16,002	c_1_3019_20220917_11_00_16,002.bmp	2,010292E+0	9,729050E-1	1,006456E-2	1,476871E-2	-9,331032E-3	-2,912223E-3	1,395599E+0	1,388463E+0
20220917 11:00:22,004	c_1_3020_20220917_11_00_22,004.bmp	2,045919E+0	9,945487E-1	7,518835E-3	1,094073E-2	-6,786918E-3	2,187256E-3	1,387954E+0	1,388463E+0
20220917 11:00:28,006	c_1_3021_20220917_11_00_28,006.bmp	2,077729E+0	1,017466E+0	7,518835E-3	1,349272E-2	8,454256E-4	-8,011703E-3	1,390502E+0	1,396136E+0
20220917 11:00:34,011	c_1_3022_20220917_11_00_34,011.bmp	2,108267E+0	1,035290E+0	6,245971E-3	1,094073E-2	-1,187515E-2	2,187256E-3	1,390502E+0	1,380789E+0
20220917 11:00:40,015	c_1_3023_20220917_11_00_40,015.bmp	2,138805E+0	1,053114E+0	1,006456E-2	1,476871E-2	-6,786918E-3	-1,821066E-2	1,398148E+0	1,396136E+0
20220917 11:00:46,019	c_1_3024_20220917_11_00_46,019.bmp	2,171887E+0	1,078577E+0	2,427377E-3	1,094073E-2	-1,698689E-3	-5,461963E-3	1,385405E+0	1,388463E+0
20220917 11:00:52,020	c_1_3025_20220917_11_00_52,020.bmp	2,197335E+0	1,096401E+0	7,518835E-3	1,094073E-2	8,454256E-4	-8,011703E-3	1,390502E+0	1,388463E+0
20220917 11:00:58,022	c_1_3026_20220917_11_00_58,022.bmp	2,217694E+0	1,119318E+0	2,427377E-3	1,094073E-2	-1,698689E-3	-8,011703E-3	1,382857E+0	1,388463E+0
20220917 11:01:04,025	c_1_3027_20220917_11_01_04,025.bmp	2,229145E+0	1,132050E+0	6,245971E-3	1,476871E-2	-1,696338E-2	-2,076040E-2	1,390502E+0	1,396136E+0
20220917 11:01:10,029	c_1_3028_20220917_11_01_10,029.bmp	2,221511E+0	1,157513E+0	7,518835E-3	8,388745E-3	5,933654E-3	2,187256E-3	1,385405E+0	1,383347E+0
20220917 11:01:16,031	c_1_3029_20220917_11_01_16,031.bmp	2,221511E+0	1,177884E+0	3,700242E-3	5,836756E-3	5,933654E-3	-5,461963E-3	1,385405E+0	1,383347E+0
20220917 11:01:22,036	c_1_3030_20220917_11_01_22,036.bmp	2,178249E+0	1,191888E+0	8,791700E-3	1,349272E-2	-1,696338E-2	-8,011703E-3	1,395599E+0	1,396136E+0
20220917 11:01:28,037	c_1_3031_20220917_11_01_28,037.bmp	1,661653E+0	1,217352E+0	7,518835E-3	7,112750E-3	-6,786918E-3	-5,461963E-3	1,385405E+0	1,388463E+0
20220917 11:01:34,040	c_1_3032_20220917_11_01_34,040.bmp	1,460614E+0	1,233903E+0	6,245971E-3	1,094073E-2	8,454256E-4	-5,461963E-3	1,387954E+0	1,388463E+0
20220917 11:01:40,045	c_1_3033_20220917_11_01_40,045.bmp	1,426259E+0	1,258093E+0	6,245971E-3	8,388745E-3	-4,242803E-3	-3,624835E-4	1,382857E+0	1,383347E+0
20220917 11:01:46,046	c_1_3034_20220917_11_01_46,046.bmp	1,424986E+0	1,275917E+0	2,427377E-3	1,094073E-2	2,119834E-2	-1,311118E-2	1,382857E+0	1,385905E+0
20220917 11:01:52,046	c_1_3035_20220917_11_01_52,046.bmp	1,414807E+0	1,292468E+0	8,791700E-3	1,094073E-2	-2,459572E-2	-1,056144E-2	1,398148E+0	1,388463E+0
20220917 11:01:58,051	c_1_3036_20220917_11_01_58,051.bmp	1,417352E+0	1,315385E+0	3,700242E-3	1,094073E-2	-6,786918E-3	-2,912223E-3	1,390502E+0	1,396136E+0
20220917 11:02:04,055	c_1_3037_20220917_11_02_04,055.bmp	1,405900E+0	1,339575E+0	2,427377E-3	1,094073E-2	-4,242803E-3	4,736996E-3	1,385405E+0	1,388463E+0
